agent,dataset,split,backend,samples,accuracy,right,error,total_cost_usd,avg_cost_usd,total_tokens,avg_tokens,avg_latency_s,total_time_s,calls_total,avg_depth,llm_calls,avg_llm_calls,tier1_pct,tier2_pct,tier3_pct
ToG,webqsp,test,wikidata,500,0.704,352,148,0.0,0.0,0,0.0,0.0,1.169487714767456,0,0.0,500.0,1.0,,,
Tiered-Forest,webqsp,test,wikidata,500,0.52,260,240,0.009876,1.9752e-05,33228,66.456,0.9846654966121583,517.114565372467,508,,,,0.0,98.4,1.6
