agent,dataset,split,backend,samples,accuracy,right,error,total_cost_usd,avg_cost_usd,total_tokens,avg_tokens,avg_latency_s,total_time_s,calls_total,avg_depth,llm_calls,avg_llm_calls,tier1_pct,tier2_pct,tier3_pct
ToG,webqsp,test,wikidata,1000,0.682,682,318,0.0,0.0,0,0.0,0.0,4355.299145460129,0,0.0,1000.0,1.0,,,
Tiered-Forest,webqsp,test,wikidata,1000,0.496,496,504,0.022741400000000044,2.2741400000000043e-05,66817,66.817,1.790834634564817,9080.90053653717,1024,,,,0.0,97.6,2.4
