name,accuracy,tokens,cost,latency
Standard ToG,0.7,2105,0.006808000000000001,1.2971334171295166
FrugalGPT,0.7,398,0.0025960000000000002,2.1136114597320557
Tiered-Forest,0.7,322,0.0018080000000000004,1.5137226819992065
